Day,Reef,Depth,Salinity,TSS,Temp,DO
16,7,7.612968844,18.2010172,6.31416621,2.496468182,13.48084602
16,8,8.336454566,17.64232595,6.31416621,2.244321803,13.98625873
16,9,5.736694009,17.69494554,6.31416621,2.268400053,13.73970472
16,10,2.947856197,16.83973046,6.31416621,1.885897423,14.15531712
16,11,5.692685305,16.81885373,6.31416621,1.876987586,14.05916194
16,12,3.14960315,16.73329768,5,1.839990995,13.73719762
16,13,3.249615362,17.57662309,6.31416621,2.185854103,12.84579692
16,14,6.557737295,16.70013556,5,1.824913611,13.72250953
16,15,6.565474247,17.13016818,5.317499128,1.993564052,12.93822853
16,16,7.938506519,17.10577477,5.317499128,1.836638104,12.93105882
16,17,7.49504095,16.27584176,5.317499128,1.936179095,12.80295052
16,18,6.922046247,16.26313383,5.317499128,2.059270137,12.70649536
16,19,6.458686625,16.2658881,5.317499128,2.224973932,12.59439401
16,20,7.429508732,16.25623998,5.317499128,2.361613972,12.49089108
17,1,8.77460946,20.42762152,10.50764883,4.035211311,12.90974412
17,2,2.987162276,20.02249611,10.50764883,3.743388872,13.08485368
17,3,8.091964535,19.99619002,10.50764883,3.913218428,12.98753435
17,4,7.496664976,19.68042941,10.50764883,3.478750803,13.23206727
17,5,10.03942029,18.5536582,10.50764883,2.662918454,13.71900119
17,6,1.894063944,18.16655165,6.290587284,2.685728604,13.80091318
17,7,7.612968844,18.18552988,6.290587284,2.401945574,13.53963851
17,8,8.336454566,17.61884628,6.290587284,2.152679079,14.05297832
17,9,5.736694009,17.67605934,6.290587284,2.17550788,13.80127393
17,10,2.947856197,16.81572148,6.290587284,1.796700123,14.22053029
17,11,5.692685305,16.79722196,6.290587284,1.78914906,14.1192477
17,12,3.14960315,16.71935886,5,1.755500033,13.78202387
17,13,3.249615362,17.57652908,6.290587284,2.090708866,12.88690006
17,14,6.557737295,16.68604874,5,1.738328271,13.77020801
17,15,6.565474247,17.12951197,5.293868547,1.899038801,12.9785533
17,16,7.938506519,17.11133159,5.293868547,1.748824965,12.96987023
17,17,7.49504095,16.26336984,5.293868547,1.822360107,12.85366389
17,18,6.922046247,16.24583642,5.293868547,1.937420112,12.76183642
17,19,6.458686625,16.24236226,5.293868547,2.093221722,12.65538527
17,20,7.429508732,16.22744456,5.293868547,2.221338834,12.55659384
18,1,8.77460946,20.43017452,10.50023135,3.898677806,12.93711847
18,2,2.987162276,20.02053819,10.50023135,3.614628765,13.11885589
18,3,8.091964535,20.00032557,10.50023135,3.777933759,13.00732908
18,4,7.496664976,19.67425033,10.50023135,3.357489759,13.27254243
18,5,10.03942029,18.53487071,10.50023135,2.563849737,13.77804262
18,6,1.894063944,18.15169,6.267503774,2.579447113,13.84774397
18,7,7.612968844,18.16921994,6.267503774,2.308113644,13.5972117
18,8,8.336454566,17.59470401,6.267503774,2.06278993,14.11801889
18,9,5.736694009,17.65648548,6.267503774,2.084085935,13.86135922
18,10,2.947856197,16.7915488,6.267503774,1.710875012,14.28364113
18,11,5.692685305,16.77542413,6.267503774,1.704634082,14.17736687
18,12,3.14960315,16.70525156,5,1.674209756,13.82529062
18,13,3.249615362,17.57581327,6.267503774,1.996625444,12.92718785
18,14,6.557737295,16.67180374,5,1.655012785,13.81627705
18,15,6.565474247,17.12830189,5.270724629,1.806397428,13.01793341
18,16,7.938506519,17.11658432,5.270724629,1.662681891,13.00775546
18,17,7.49504095,16.25078623,5.270724629,1.712281846,12.90289719
18,18,6.922046247,16.22840949,5.270724629,1.819410815,12.81564831
18,19,6.458686625,16.2186604,5.270724629,1.965441419,12.71478871
18,20,7.429508732,16.19845301,5.270724629,2.085135006,12.62066384
19,1,8.77460946,20.42127889,10.50472361,3.761515919,12.96637689
19,2,2.987162276,20.00888877,10.50472361,3.485353653,13.1542101
19,3,8.091964535,19.99216448,10.50472361,3.643007197,13.02875601
19,4,7.496664976,19.66009596,10.50472361,3.235732157,13.3138917
19,5,10.03942029,18.51303016,10.50472361,2.464369511,13.83647402
19,6,1.894063944,18.13165141,6.244974205,2.474080262,13.89401187
19,7,7.612968844,18.15125416,6.244974205,2.213729708,13.65401917
19,8,8.336454566,17.5694971,6.244974205,1.974024187,14.18154383
19,9,5.736694009,17.63572756,6.244974205,1.99337293,13.92019086
19,10,2.947856197,16.76723558,6.244974205,1.628500698,14.34455614
19,11,5.692685305,16.75347911,6.244974205,1.623519508,14.23343619
19,12,3.14960315,16.69098122,5,1.596192736,13.86694488
19,13,3.249615362,17.573791,6.244974205,1.902610567,12.96702231
19,14,6.557737295,16.65740691,5,1.575042509,13.8606574
19,15,6.565474247,17.12611647,5.2481258,1.715037307,13.05656517
19,16,7.938506519,17.12108145,5.2481258,1.577561979,13.04489325
19,17,7.49504095,16.23811798,5.2481258,1.606100855,12.95056394
19,18,6.922046247,16.21089099,5.2481258,1.705425066,12.86782837
19,19,6.458686625,16.19482244,5.2481258,1.841841043,12.77248308
19,20,7.429508732,16.16931733,5.2481258,1.953238947,12.68296298
20,1,8.77460946,20.39892281,10.52351147,3.615706853,12.99845221
20,2,2.987162276,19.98582702,10.52351147,3.348953236,13.19170214
20,3,8.091964535,19.96987234,10.52351147,3.500683468,13.05270928
20,4,7.496664976,19.63650258,10.52351147,3.108182238,13.35677394
20,5,10.03942029,18.48748378,10.52351147,2.363308402,13.89454492
20,6,1.894063944,18.10582861,6.223057102,2.367702326,13.9399565
20,7,7.612968844,18.13116444,6.223057102,2.118773131,13.7102293
20,8,8.336454566,17.54312708,6.223057102,1.886666831,14.24350001
20,9,5.736694009,17.61360561,6.223057102,1.903693516,13.97776829
20,10,2.947856197,16.74280495,6.223057102,1.549655791,14.40318179
20,11,5.692685305,16.73140578,6.223057102,1.54588219,14.28737238
20,12,3.14960315,16.67655326,5,1.521521547,13.90693366
20,13,3.249615362,17.57011849,6.223057102,1.808910364,13.00650918
20,14,6.557737295,16.64286461,5,1.498492801,13.90328981
20,15,6.565474247,17.12283431,5.226130489,1.625238537,13.09443451
20,16,7.938506519,17.12466787,5.226130489,1.493730996,13.08126957
20,17,7.49504095,16.22539758,5.226130489,1.503986904,12.99657658
20,18,6.922046247,16.19332408,5.226130489,1.59565843,12.91827295
20,19,6.458686625,16.17088829,5.226130489,1.722628616,12.82834716
20,20,7.429508732,16.14008952,5.226130489,1.82588712,12.74335319
21,1,8.77460946,20.36370304,10.55542458,3.46226092,13.03298992
21,2,2.987162276,19.95186045,10.55542458,3.206332248,13.2310033
21,3,8.091964535,19.9341003,10.55542458,3.351864236,13.07889536
21,4,7.496664976,19.60389083,10.55542458,2.975653561,13.40088079
21,5,10.03942029,18.45840228,10.55542458,2.261200383,13.95201857
21,6,1.894063944,18.07449727,6.201810992,2.260782669,13.98539494
21,7,7.612968844,18.1090424,6.201810992,2.023720791,13.76563188
21,8,8.336454566,17.51565924,6.201810992,1.801006704,14.30372349
21,9,5.736694009,17.5901859,6.201810992,1.815376926,14.03392441
21,10,2.947856197,16.71828005,6.201810992,1.474418899,14.45942457
21,11,5.692685305,16.70922301,6.201810992,1.471798985,14.33909221
21,12,3.14960315,16.6619731,5,1.450268762,13.94520396
